"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T124806_20231005T125106_20231006T210435_0180_104_123_5400_PS1_O_NT_004,"2023-10-05 12:48:06",S3A,390,147,954,-28.365012201178,150.95328795771
S3A_SL_1_RBT____20231005T124806_20231005T125106_20231006T210435_0180_104_123_5400_PS1_O_NT_004,"2023-10-05 12:48:06",S3A,390,147,955,-28.356389607069,150.95020117149
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,321,300,174,-25.125895511159,148.25559618152
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,321,300,175,-25.117196742633,148.25283283359
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,324,373,1145,-16.816822693461,145.10470078483
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,320,374,1145,-16.819092525841,145.09562051569
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,352,382,536,-22.169350968135,146.51887057053
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,324,950,745,-21.587834705475,140.69262558081
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,340,950,749,-21.552539046406,140.6838439639
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,333,953,743,-21.611617999208,140.66879996376
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,330,960,746,-21.599463603229,140.59637159344
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,326,960,747,-21.590639072295,140.59418222149
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,328,961,746,-21.601508873027,140.58696581085
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,325,961,747,-21.592684284294,140.58477701689
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,365,961,753,-21.539736751898,140.57164425314
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,324,964,746,-21.607621425239,140.55873830106
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,374,964,747,-21.59879666311,140.55655108588
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,331,965,746,-21.609658032443,140.54932873342
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,323,1035,1169,-18.014438081179,138.99551160516
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,322,1035,1170,-18.005599102117,138.99342908685
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,325,1133,1184,-18.074377598226,138.061167885
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,348,1133,1188,-18.039013213509,138.05302103648
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,329,1134,1188,-18.040956486103,138.04379707641
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,325,1134,1189,-18.032115375474,138.04176082667
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,327,1136,1192,-18.009478473176,138.01720785642
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,329,1137,1192,-18.01142168797,138.00798574591
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,325,1148,1149,-18.412900124947,137.99388420912
